epoch,lr,train_loss,train_acc,train_write_ratio,train_estimated_state_write_bytes_per_sample,test_loss,test_acc,spike_rate,avg_batch_infer_ms,write_ratio,estimated_state_write_bytes_per_sample,sop_proxy
1,0.0001,0.03329687398786967,0.9897166666666667,1.0,1906688.0,0.1365211587060243,0.9593,0.04591561912593985,29.19257743058691,1.0,1906688.0,890231.1245112781
2,0.0001,0.031122956350181873,0.9905166666666667,1.0,1906688.0,0.12237919874859508,0.9611,0.04181523028413668,28.646647431858025,1.0,1906688.0,810731.0798846402
3,0.0001,0.02954854860190923,0.9909,1.0,1906688.0,0.05811990912277251,0.9827,0.044519599850631045,30.798815606031447,1.0,1906688.0,863164.5220575726
4,0.0001,0.027855137784965338,0.9914666666666667,1.0,1906688.0,0.09910331260990352,0.9699,0.04005058362983351,29.214855544506364,1.0,1906688.0,776517.3764580021
5,0.0001,0.02755720464955084,0.99115,1.0,1906688.0,0.07579942912030965,0.9776,0.04085468592659103,29.2219400263516,1.0,1906688.0,792107.6462940923
