epoch,lr,train_loss,train_ce_loss,train_kd_loss,train_acc,test_loss,test_acc,spike_rate,avg_batch_infer_ms,sop_proxy
1,0.0001,0.28092265366077424,0.2545220133316517,0.3425241425514221,0.91034,0.5558430338859558,0.8417,0.0484059023030599,23.252625386141666,11397137.942983542
2,0.0001,0.29014544564008715,0.24377626852035522,0.39834018702030183,0.91396,0.5421329371452331,0.8406,0.048911902104130496,22.814375063653582,11516275.264209745
3,0.0001,0.2761763942718506,0.22880178109526633,0.38671715151786806,0.91934,0.5264176956176758,0.8456,0.04899685191966869,22.97021331751992,11536276.642551133
4,0.0001,0.25766901478767396,0.2168356524884701,0.3529468543148041,0.92298,0.5286095735549927,0.8442,0.04832365749782986,22.85857546694909,11377773.457544722
5,0.0001,0.3026307164382935,0.24360067847251893,0.44036746389389037,0.91558,0.5494417919158936,0.8393,0.049850342836733216,23.28738861474072,11737230.519083936
