layer_name,params,hessian_trace,trace_density,rank,assigned_bits
features.0,1728,676675242.0,391594.46875,1,8
features.3,36864,1596193.171875,43.29951095581055,2,8
features.7,73728,88065.10546875,1.1944594383239746,3,8
features.10,147456,23334.16552734375,0.15824493765830994,4,8
features.14,294912,3320.5484619140625,0.011259455233812332,5,8
features.17,589824,1040.2319641113281,0.0017636311240494251,6,8
features.20,589824,31.635515928268433,5.363551827031188e-05,7,8
classifier,5120,2.1089087426662445,0.0004118962388020009,8,4
features.34,2359296,0.03438020939938724,1.4572232309717492e-08,9,4
features.37,2359296,0.02641088655218482,1.1194392968150169e-08,10,4
features.30,2359296,-0.009286903543397784,-3.93630283923585e-09,11,4
features.24,1179648,-0.0139545276761055,-1.1829399682028452e-08,12,4
features.40,2359296,-0.2296951599419117,-9.735749983974529e-08,13,4
features.27,2359296,-0.504693903028965,-2.139171613180224e-07,14,4
