setting,test_acc,spike_rate,avg_batch_infer_ms,sop_proxy,avg_weight_bits
FP32,0.85,0.047476097389503764,312.3145926743746,11178215.986038774,32.0
UniformW4,0.8,0.048589502970377604,14.105650782585144,11440366.599661458,4.0
HessianMixed,0.8625,0.048144974885163484,22.37088903784752,11335702.753608217,4.4714283850372505
