setting,test_acc,spike_rate,avg_batch_infer_ms,sop_proxy,avg_weight_bits,avg_state_bits
FP32,0.9756,0.027602240744159505,11.927197337340397,535163.726079914,32.0,32.0
UniformW8,0.9758,0.027595683142706096,11.42244538066873,535036.5845749732,8.0,32.0
WeightStateMixed,0.3849,0.02599190470596133,14.645718180449906,503941.86107153597,6.670751029893314,6.666666666666667
