epoch,lr,train_loss,train_acc,test_loss,test_acc,spike_rate,avg_batch_infer_ms,sop_proxy
1,0.0001,0.013638652746387137,0.9956833333333334,0.0169295992274303,0.9946,0.028947294261043234,10.000094581561484,561242.1832075188
2,0.0001,0.010970867303952886,0.9967333333333334,0.01780980263359379,0.9946,0.033410262507552364,9.95128462980887,647772.0681656284
3,0.0001,0.010277532428619451,0.9971166666666667,0.01653465916546993,0.995,0.03159965185704216,9.607192520408114,612667.1956595059
4,0.0001,0.009698895404619786,0.9973166666666666,0.016740142904338427,0.9948,0.03039778589889903,9.974140739127709,589364.9184867884
5,0.0001,0.008939481301644507,0.9974666666666666,0.017664162919961382,0.9942,0.03431686028338145,9.633802684249392,665349.5629880774
