layer_name,params,avg_grad2,sensitivity_score,score_density,rank,assigned_bits
conv1,1728,0.01773218624293804,0.5548892617225647,0.00032111647090426196,1,8
fc2,2560,7.006424857536331e-05,0.004050462041050196,1.5822117347852327e-06,2,8
conv2,73728,5.1188148972869385e-06,0.002042963169515133,2.7709461392078083e-08,3,8
fc1,2097152,1.7836704557794292e-08,0.000267969211563468,1.2777767732785605e-10,4,2
