layer_name,assigned_bits,params,hessian_trace,trace_density,rank
conv1,8,1728,1560.6086414337158,0.9031300008296966,1
conv2,8,73728,58.01049041748047,0.0007868176326155663,2
fc2,4,2560,18.643470525741577,0.007282605674117803,3
fc1,4,2097152,5.624015069007873,2.681739363197266e-06,4
