epoch,lr,train_loss,train_acc,train_avg_state_bits_used,test_loss,test_acc,spike_rate,avg_batch_infer_ms,avg_state_bits_used,state_bit_ratio_vs_high,easy_fraction_post_warmup,sop_proxy
1,0.0001,0.12720862988128018,0.9610666666666666,5.14325,1.565594146823883,0.633,0.059945239231589016,56.14493716104775,7.5385,0.9423125,0.142,1162243.235441568
2,0.0001,0.09910843223861109,0.9693333333333334,5.146445833333333,0.9100866910457611,0.7015,0.05878181689925148,56.929347182440154,7.39355,0.92419375,0.1866,1139686.3192785177
3,0.0001,0.09108462532696625,0.9731166666666666,5.133933333333333,1.4995606345832349,0.5444,0.03483206507829283,56.26383893618918,7.6256,0.9532,0.1152,675338.567877014
4,0.0001,0.0853702860377729,0.97495,5.134745833333334,1.3453029896728694,0.7308,0.03633655605951262,54.244451034980216,7.5476,0.94345,0.1392,704508.2648891514
5,0.0001,0.07690927903506284,0.9770833333333333,5.1287875,2.478816585222632,0.2577,0.0604007829283029,57.640381845509175,6.158875,0.769859375,0.5665,1171075.5061396349
