epoch,lr,train_loss,train_ce_loss,train_kd_loss,train_acc,test_loss,test_acc,spike_rate,avg_batch_infer_ms,sop_proxy
1,0.0001,0.19818906615018844,0.2561095935511589,0.1402685381615162,0.90982,0.548608242225647,0.8407,0.04830647429289641,22.975991699536134,11373727.683215324
2,0.0001,0.19919899703621866,0.24447765741705896,0.15392033721387385,0.91422,0.5275442099571228,0.8405,0.04878848232693142,23.272973093779605,11487216.158631597
3,0.0001,0.19748281981229782,0.2388612560594082,0.15610438289880751,0.91578,0.5055503338813782,0.8402,0.048735747364185476,23.152473762299223,11474799.7462472
4,0.0001,0.20214923596143722,0.24392515675067902,0.1603733151471615,0.9139,0.5088833312034607,0.8391,0.04857978438765914,23.380044859590804,11438078.365735786
5,0.0001,0.21234297526836396,0.2520368497598171,0.17264910051107407,0.91134,0.510705248260498,0.8375,0.04908295690465857,23.204334430206732,11556550.004782131
