epoch,lr,train_loss,train_acc,test_loss,test_acc,spike_rate,avg_batch_infer_ms,params,model_size_mb,synapse_count_proxy,sop_proxy
1,0.001,1.6633951301193237,0.38118,1.4023606618881226,0.4795,0.048449130684988836,251.63797202549176,1148874,4.382606506347656,1147072,889194.2597294642
2,0.001,1.2824030239868165,0.53268,1.187544553756714,0.5679,0.05402048672267369,95.51414327434031,1148874,4.382606506347656,1147072,991446.2039352121
3,0.001,1.125599146308899,0.59596,1.216225897216797,0.5648,0.05614670922415597,95.47842632491665,1148874,4.382606506347656,1147072,1030469.0886907366
4,0.001,1.0362994065093993,0.62754,1.0564950323104858,0.6248,0.05814205404009138,95.44118075027654,1148874,4.382606506347656,1147072,1067089.9553900112
5,0.001,0.9624122697639466,0.6582,0.9808262219429016,0.6494,0.059381627573285786,95.76743325087591,1148874,4.382606506347656,1147072,1089840.036859905
6,0.001,0.9053514045715332,0.6803,0.9044023465156555,0.681,0.058576778166634695,96.1119443505595,1148874,4.382606506347656,1147072,1075068.5133625278
7,0.001,0.8570200163269043,0.6958,1.262304306602478,0.5936,0.05547419425419399,95.51961237593787,1148874,4.382606506347656,1147072,1018126.3192247489
8,0.001,0.8409108014297485,0.70186,0.8753030905723572,0.6931,0.06093056250980922,95.49304097527056,1148874,4.382606506347656,1147072,1118267.87518803
9,0.001,0.7741971410942078,0.72684,0.8313365580558777,0.7137,0.06078444148472377,95.44482757264632,1148874,4.382606506347656,1147072,1115586.093804241
10,0.001,0.7440345951461792,0.73818,0.8794956612586975,0.6993,0.05850409458705357,95.42887389798125,1148874,4.382606506347656,1147072,1073734.5405785714
