layer_name,params,hessian_trace,trace_density,rank,assigned_bits
features.0,1728,26133.800049591064,15.123726880550384,1,8
features.3,36864,746.3630950927734,0.02024639472365379,2,8
features.7,73728,190.40224342346193,0.0025824957061558965,3,8
features.10,147456,11.586693030595779,7.857729106035548e-05,4,8
features.14,294912,10.165351957082748,3.4469102502043825e-05,5,4
features.17,589824,4.817713344097138,8.168052409018857e-06,6,4
classifier,2560,2.402625009417534,0.0009385253943037242,7,4
