setting,weight_bits,params,quantized_weight_params,model_size_mb_proxy,synapse_count_proxy,test_loss,test_acc,spike_rate,avg_batch_infer_ms,sop_proxy
FP32,32,1212426,0,4.625038146972656,1211776,0.02232372989470605,0.9928,0.030021538814950323,54.01556124274112,582070.0835044038
W8,8,1212426,1211776,1.1581192016601562,1211776,0.022392708827892783,0.9932,0.029990814018864123,19.137885999170287,581474.3783763695
W4,4,1212426,1211776,0.5802993774414062,1211776,0.0261584383294452,0.9919,0.03001261333789272,19.026851281523705,581897.0326422127
