setting,test_acc,spike_rate,avg_batch_infer_ms,sop_proxy,state_bits,write_ratio,estimated_state_write_bytes_per_sample
FP32State,0.9928,0.030021543954752955,30.222916501058133,582070.1831570355,32.0,1.0,7626752.0
FixedStateB8,0.9825,0.03992658694028598,26.074605940538607,774113.2770584318,8.0,1.0,1906688.0
StateWriteAwareB8,0.9611,0.040743348990500805,31.02425386191933,789948.9994610096,8.0,1.0,1906688.0
