epoch,lr,train_loss,train_acc,train_write_ratio,train_estimated_state_write_bytes_per_sample,test_loss,test_acc,spike_rate,avg_batch_infer_ms,write_ratio,estimated_state_write_bytes_per_sample,sop_proxy
1,0.0001,0.0158916215592452,0.9949666666666667,1.0,1906688.0,0.2716171753114817,0.9067,0.039672820041873655,25.987093675003692,1.0,1906688.0,769193.1388649838
2,0.0001,0.0124062852369699,0.9960833333333333,1.0,1906688.0,0.10027589529312972,0.97,0.04639359271155008,26.75847932221783,1.0,1906688.0,899498.2752261009
3,0.0001,0.01121959341725645,0.99665,1.0,1906688.0,0.06060033627077937,0.9812,0.05068332118311963,26.10359892581299,1.0,1906688.0,982669.3153599355
4,0.0001,0.010251130306798344,0.9971666666666666,1.0,1906688.0,0.04959683609899948,0.9842,0.04231838706699785,26.6487116504247,1.0,1906688.0,820486.4929039743
5,0.0001,0.009434344305299843,0.99715,1.0,1906688.0,0.062408093827683475,0.9825,0.03992658694028598,26.972601308849207,1.0,1906688.0,774113.2770584318
