setting,test_acc,spike_rate,avg_batch_infer_ms,sop_proxy,avg_state_bits_used,estimated_state_bytes_per_sample,easy_fraction_post_warmup
FP32State,0.8361,0.04761273220486111,83.84826100745778,11210386.563682223,32.0,17694720.0,0.0
FixedStateHighB8,0.8358,0.04773279251663773,162.12973125563684,11238654.685330462,8.0,4423680.0,0.0
FixedStateLowB7,0.8033,0.05795502285427517,163.25512726547993,13645472.112544097,7.0,3870720.0,0.0
AdaptiveStateB7to8,0.8411,0.04750540136266638,293.99919628527516,11185115.587296505,7.766869028662421,4294767.898089172,0.46626194267515925
