epoch,lr,train_loss,train_acc,train_avg_state_bits_used,test_loss,test_acc,spike_rate,avg_batch_infer_ms,avg_state_bits_used,state_bit_ratio_vs_high,easy_fraction_post_warmup,sop_proxy
1,0.0001,0.3869973511862755,0.86858,7.0,0.8057845517158508,0.7671,0.05556957444932726,166.63542516814294,7.0,0.875,0.0,13083819.850453265
2,0.0001,0.3725961994290352,0.87124,7.0,0.6617094285964966,0.7963,0.05464908155653212,164.01843344614764,7.0,0.875,0.0,12867090.402687987
3,0.0001,0.3636548652219772,0.87408,7.0,0.6226865852355957,0.801,0.0553158694797092,162.7336849167848,7.0,0.875,0.0,13024085.181787152
4,0.0001,0.365737959189415,0.87146,7.0,0.6242196253776551,0.7982,0.05470581707989728,164.20276741835343,7.0,0.875,0.0,12880448.74444581
5,0.0001,0.3674981019353867,0.87236,7.0,0.635838294506073,0.8033,0.05795502285427517,165.5403666055886,7.0,0.875,0.0,13645472.112544097
