epoch,lr,train_loss,train_acc,train_avg_state_bits_used,test_loss,test_acc,spike_rate,avg_batch_infer_ms,avg_state_bits_used,state_bit_ratio_vs_high,easy_fraction_post_warmup,sop_proxy
1,0.0001,0.5502141024398803,0.82054,6.09812,0.8237904708862305,0.7622,0.05610021683304398,214.1889169408827,7.0376,0.8797,0.3208,13208759.251597963
2,0.0001,0.5038437410402298,0.82994,6.16904,0.9896273447036743,0.7186,0.0639467125108507,214.91246905391384,6.6143,0.8267875,0.4619,15056211.51163639
3,0.0001,0.48899549902439116,0.83382,6.21674,0.7812874702453614,0.7548,0.05346849489565249,212.56522148562846,7.1183,0.8897875,0.2939,12589122.047848728
4,0.0001,0.46861820909023283,0.84074,6.25388,0.7744371072769165,0.7524,0.05746401685926649,212.19419152920793,7.0184,0.8773,0.3272,13529865.073119236
5,0.0001,0.4672220533323288,0.838,6.26282,0.7954257411956787,0.7497,0.04842579820421007,211.9423122661319,7.7003,0.9625375,0.0999,11401822.41985764
