setting,test_acc,spike_rate,avg_batch_infer_ms,sop_proxy,avg_state_bits_used,estimated_state_bytes_per_sample,easy_fraction_post_warmup
FP32State,0.8361,0.04761273220486111,82.9500608549566,11210386.563682223,32.0,17694720.0,0.0
FixedStateHighB8,0.8358,0.04773279251663773,161.66464495620912,11238654.685330462,8.0,4423680.0,0.0
FixedStateLowB4,0.5244,0.0815572233525029,164.43835519206752,19202594.73680829,4.0,2211840.0,0.0
AdaptiveStateB4to8,0.7497,0.04842579820421007,207.57501994728284,11401822.41985764,7.7003,4257957.888,0.0999
