setting,test_acc,spike_rate,avg_batch_infer_ms,sop_proxy,avg_weight_bits,avg_state_bits
FP32,0.85,0.047476097389503764,17.52226874232292,11178215.986038774,32.0,32.0
UniformW4,0.8,0.048589502970377604,12.422237172722816,11440366.599661458,4.0,32.0
WeightStateMixed,0.825,0.04721539532696759,21.307777613401413,11116833.856435185,4.4714283850372505,6.923076923076923
