epoch,lr,train_loss,train_acc,test_loss,test_acc,spike_rate,avg_batch_infer_ms,sop_proxy
1,0.0001,0.4456773611716926,0.8625,0.5462715193629265,0.8375,0.04538105152271412,31.968047842383385,10684938.81105324
2,0.0001,0.6684499866329133,0.8,0.726482605934143,0.8,0.04752442819100839,30.550044029951096,11189595.441548033
3,0.0001,0.5413588711991906,0.85,0.7172535181045532,0.8125,0.047059252703631364,31.324791535735127,11080070.178200232
4,0.0001,0.4841207889840007,0.81875,0.5361793100833893,0.825,0.04710712574146412,32.344166934490204,11091341.853553241
5,0.0001,0.463835796713829,0.88125,0.6139364421367646,0.825,0.04721539532696759,31.963714584708217,11116833.856435185
