setting,test_acc,spike_rate,avg_batch_infer_ms,sop_proxy,avg_state_bits_used,estimated_state_bytes_per_sample,easy_fraction_post_warmup
FP32State,0.8361,0.04761273220486111,82.61983469128609,11210386.563682223,32.0,17694720.0,0.0
FixedStateHighB8,0.8358,0.04773279251663773,162.1463163785494,11238654.685330462,8.0,4423680.0,0.0
FixedStateLowB7,0.8033,0.05795502285427517,163.19480056690563,13645472.112544097,7.0,3870720.0,0.0
AdaptiveStateB7to8,0.749,0.052648220960828995,290.3493035964336,12395989.087994236,7.8953523089171975,4365814.012738854,0.2092953821656051
