epoch,lr,train_loss,train_acc,train_avg_state_bits_used,test_loss,test_acc,spike_rate,avg_batch_infer_ms,avg_state_bits_used,state_bit_ratio_vs_high,easy_fraction_post_warmup,sop_proxy
1,0.0001,0.03214014016119763,0.9902333333333333,7.582275,0.09384164769332856,0.9735,0.04844560169256847,49.57568932585656,7.7379,0.9672375,0.5242,939283.4789858217
2,0.0001,0.030300006693112665,0.99025,7.57855,0.0961192661203444,0.9702,0.04583352069137688,48.20588700900412,7.7438,0.967975,0.5124,888639.3659090226
3,0.0001,0.028018444425457468,0.99135,7.577641666666667,0.24973401147946717,0.9221,0.0337908387738319,48.53948317230887,7.77115,0.97139375,0.4577,655150.8391359828
4,0.0001,0.028025001087544174,0.99125,7.576491666666667,0.25324182270076123,0.9304,0.0364841137616642,48.275910495857524,7.78025,0.97253125,0.4395,707369.1750024704
5,0.0001,0.026454920188042647,0.9919,7.5753,0.14695623938706703,0.9563,0.039795983454031285,47.70582194208719,7.77875,0.97234375,0.4425,771581.0823358754
