setting,test_acc,spike_rate,avg_batch_infer_ms,sop_proxy,avg_state_bits_used,estimated_state_bytes_per_sample,easy_fraction_post_warmup
FP32State,0.9928,0.03002154893721469,27.132414483055946,582070.2797590763,32.0,7626752.0,0.0
FixedStateHighB8,0.9913,0.03380814564312567,43.24951175908754,655486.391917508,8.0,1906688.0,0.0
FixedStateLowB7,0.9498,0.043336653663315655,40.45281921080343,840229.0692722879,7.0,1668352.0,0.0
AdaptiveStateB7to8,0.9563,0.039795983454031285,48.02397629068156,771581.0823358754,7.77875,1853956.16,0.4425
