layer_name,assigned_weight_bits,params,hessian_trace,trace_density,weight_rank
features.0,8,1728,26133.800049591064,15.123726880550384,1
features.3,8,36864,746.3630950927734,0.02024639472365379,2
features.7,8,73728,190.40224342346193,0.0025824957061558965,3
features.10,8,147456,11.586693030595779,7.857729106035548e-05,4
features.14,4,294912,10.165351957082748,3.4469102502043825e-05,5
features.17,4,589824,4.817713344097138,8.168052409018857e-06,6
classifier,4,2560,2.402625009417534,0.0009385253943037242,7
