setting,test_acc,spike_rate,avg_batch_infer_ms,sop_proxy,avg_weight_bits,avg_state_bits
FP32,0.8,0.05977332592010498,10.043760599546658,1097028.9361572266,32.0,32.0
UniformW4,0.76875,0.061400750705174034,7.819781000216608,1126897.3106061663,4.0,32.0
WeightStateMixed,0.53125,0.06246687514441354,10.036578700055543,1146464.0544904438,4.905875132511298,6.0
