epoch,lr,train_loss,train_acc,train_avg_state_bits_used,test_loss,test_acc,spike_rate,avg_batch_infer_ms,avg_state_bits_used,state_bit_ratio_vs_high,easy_fraction_post_warmup,sop_proxy
1,0.0001,0.03096928806626238,0.9903333333333333,6.934041666666666,0.13217853653784842,0.9595,0.0431487103291152,54.09047185520458,7.586625,0.948328125,0.3307,836585.1457243824
2,0.0001,0.03017464011310755,0.9908166666666667,6.930958333333334,0.16751458979398012,0.9493,0.04821113087196227,55.10166903162838,7.721875,0.965234375,0.2225,934737.4611760472
3,0.0001,0.027747671747859567,0.9915166666666667,6.928041666666667,0.9583787876529619,0.7663,0.03360440622692334,48.95684996228309,7.7845,0.9730625,0.1724,651536.2073605801
4,0.0001,0.028291045191977175,0.9913333333333333,6.9254375,5.042746376419068,0.1289,0.026255464134667023,51.247574116109284,7.9595,0.9949375,0.0324,509051.8609160043
5,0.0001,0.026773745482120043,0.9918333333333333,6.922875,1.4584310716830193,0.6259,0.0350182768234761,46.470805883977064,7.845625,0.980703125,0.1235,678948.9186567132
