setting,test_acc,spike_rate,avg_batch_infer_ms,sop_proxy,avg_state_bits_used,estimated_state_bytes_per_sample,easy_fraction_post_warmup
FP32State,0.9928,0.03002154893721469,26.655280191427583,582070.2797590763,32.0,7626752.0,0.0
FixedStateHighB8,0.9913,0.03380814564312567,42.79987065560499,655486.391917508,8.0,1906688.0,0.0
FixedStateLowB6,0.7151,0.0490056185909808,44.69216178367092,950141.3195792696,6.0,1430016.0,0.0
AdaptiveStateB6to8,0.6259,0.0350182768234761,46.940347998385214,678948.9186567132,7.845625,1869894.8800000001,0.1235
