setting,weight_bits,params,quantized_weight_params,model_size_mb_proxy,synapse_count_proxy,test_loss,test_acc,spike_rate,avg_batch_infer_ms,sop_proxy
FP32,32,14724042,0,56.167762756347656,14715584,0.5789550880432129,0.8348,0.04761766169795283,154.751153010875,11211547.20959692
W8,8,14724042,14715584,14.066139221191406,14715584,0.5747886199951172,0.8364,0.0476406704598886,84.02261277660728,11216964.60750095
W4,4,14724042,14715584,7.049201965332031,14715584,0.9532368873596191,0.7499,0.048419844382957176,84.24340395722538,11400420.596549353
