layer_name,assigned_bits,params,hessian_trace,trace_density,rank
features.0,8,6272,8.77246048168745,0.001398670357411902,1
features.8,8,802816,1.0378019225783646,1.2927020918596099e-06,2
features.4,4,401408,1.0165855425177142,2.5325492828187634e-06,3
classifier,4,1280,0.09640525234863162,7.531660339736846e-05,4
