epoch,lr,train_loss,train_acc,test_loss,test_acc,spike_rate,avg_batch_infer_ms,params,model_size_mb,synapse_count_proxy,sop_proxy
1,0.001,1.9891027373886108,0.23358,1.7679939315795898,0.3016,0.042867443418149596,134.66994618065655,14724042,56.167762756347656,14715584,10093111.43176044
2,0.001,1.7250347148895264,0.31766,1.6552598022460938,0.3609,0.050918781173140915,83.64806594327092,14724042,56.167762756347656,14715584,11988793.624495579
3,0.001,1.5719939794921876,0.40168,1.575568284225464,0.4138,0.049010091891818576,83.60401061363518,14724042,56.167762756347656,14715584,11539393.985308403
4,0.001,1.5131811865234375,0.43188,1.3749361030578613,0.4763,0.0594848617666739,83.91947150230408,14724042,56.167762756347656,14715584,14005671.68089405
5,0.001,1.374647448196411,0.48548,1.3661220531463623,0.4812,0.06070715589735243,83.64959671162069,14724042,56.167762756347656,14715584,14293460.03213736
6,0.001,1.3122947618865968,0.51284,1.2722425510406494,0.532,0.05943893102575232,83.61199288628995,14724042,56.167762756347656,14715584,13994857.31807463
7,0.001,1.2399752355957032,0.5441,1.206310069656372,0.5657,0.059521771963614,83.94161821343005,14724042,56.167762756347656,14715584,14014362.162550509
8,0.001,1.1569856986236573,0.57818,1.1537242654800415,0.5836,0.06130800075954861,83.67375996895134,14724042,56.167762756347656,14715584,14434928.560787223
9,0.001,1.1087992139816285,0.60176,1.1120230310440062,0.6038,0.061557499864366316,83.97696996107697,14724042,56.167762756347656,14715584,14493672.961345138
10,0.001,1.0545218754577637,0.62372,1.0958817026138306,0.6128,0.062166460141782405,83.58484017662704,14724042,56.167762756347656,14715584,14637052.259184815
11,0.001,1.0083821733856202,0.63968,1.0414596199035644,0.6272,0.06108254885073061,83.63437694497406,14724042,56.167762756347656,14715584,14381846.056752477
12,0.001,0.9917653887939453,0.6484,1.002220288181305,0.6423,0.05984711791992187,83.80101569928229,14724042,56.167762756347656,14715584,14090964.65453625
13,0.001,0.9502506478118896,0.66222,0.984744529247284,0.6504,0.059476756795247394,83.6195397656411,14724042,56.167762756347656,14715584,14003763.37068854
14,0.001,0.9238027203750611,0.6742,0.9179880773544311,0.6788,0.058690117277922456,83.5497704334557,14724042,56.167762756347656,14715584,13818549.612369908
15,0.001,0.889687066078186,0.6847,0.915378200340271,0.6802,0.0583673354989511,83.50223572924733,14724042,56.167762756347656,14715584,13742550.85425595
16,0.001,0.8642062202644348,0.69522,0.836119598865509,0.7059,0.05888715420193143,83.70219869539142,14724042,56.167762756347656,14715584,13864941.826871598
17,0.001,0.8222210597419739,0.71,0.8408042301177978,0.7108,0.05927309290002893,83.85951169766486,14724042,56.167762756347656,14715584,13955810.84016287
18,0.001,0.8126461046981811,0.71434,0.9379876850128174,0.6828,0.0583381140588831,83.74556009657681,14724042,56.167762756347656,14715584,13735670.685361205
19,0.001,0.7756990042114258,0.7301,0.8264183785438538,0.7136,0.05842824444806134,83.58382540754974,14724042,56.167762756347656,14715584,13756891.826367686
20,0.001,0.7712076928901672,0.7295,0.7905228185653687,0.7239,0.057353278785988136,83.67578820325434,14724042,56.167762756347656,14715584,13503791.866410023
21,0.001,0.7412799263191223,0.74196,0.7900872766494751,0.7302,0.05862638470685041,83.68971128948033,14724042,56.167762756347656,14715584,13803543.820319561
22,0.001,0.7135543350601197,0.74916,0.7516746905326843,0.7405,0.057301222556785304,83.88499575667083,14724042,56.167762756347656,14715584,13491535.261393102
23,0.001,0.7297441070175171,0.74536,0.7883479384422303,0.7252,0.05610625775372541,83.57938230037689,14724042,56.167762756347656,14715584,13210181.58240956
24,0.001,0.6738823204421998,0.76538,0.7160604091644287,0.7553,0.05809251501012731,83.84096366353333,14724042,56.167762756347656,14715584,13677844.550444629
25,0.001,0.6546670824813843,0.77102,0.7473734559059143,0.7476,0.0561850909197772,83.90275458805263,14724042,56.167762756347656,14715584,13228742.799641898
26,0.001,0.6362036324691772,0.77756,0.6908893432617188,0.7634,0.057503607426396125,84.36441663652658,14724042,56.167762756347656,14715584,13539186.646178495
27,0.001,0.6206380861473083,0.7849,0.6907136416435242,0.7647,0.05619930431224682,83.6751401424408,14724042,56.167762756347656,14715584,13232089.333574884
28,0.001,0.6065336730957032,0.78946,0.6702031714916229,0.773,0.05678645512333623,83.6240150500089,14724042,56.167762756347656,14715584,13370333.606874954
29,0.001,0.594996912727356,0.79068,0.711451620388031,0.7565,0.056392467900028935,83.55317986570299,14724042,56.167762756347656,14715584,13277569.57360287
30,0.001,0.5889779438400269,0.79582,0.6643559168338775,0.7766,0.05575328769259982,84.23665859736502,14724042,56.167762756347656,14715584,13127075.013065903
31,0.001,0.573189271812439,0.80068,0.6628741641998291,0.7731,0.05617085598415798,84.12462323904037,14724042,56.167762756347656,14715584,13225391.193388471
32,0.001,0.5669752031040192,0.8026,0.6451926118850708,0.7826,0.05629711195203993,83.73332140035927,14724042,56.167762756347656,14715584,13255118.078202361
