epoch,lr,train_loss,train_acc,train_write_ratio,train_estimated_state_write_bytes_per_sample,test_loss,test_acc,spike_rate,avg_batch_infer_ms,write_ratio,estimated_state_write_bytes_per_sample,sop_proxy
1,0.0001,0.0345576555679397,0.9891666666666666,1.0,1906688.0,0.21249678480003495,0.9323,0.03857376256629296,24.355501363611523,1.0,1906688.0,747884.1553205155
2,0.0001,0.03132334264959985,0.99005,1.0,1906688.0,0.14147671196926384,0.9556,0.05054693568113923,24.0893499676589,1.0,1906688.0,980025.0165111708
3,0.0001,0.030295846148277635,0.9903666666666666,1.0,1906688.0,0.13723669611364603,0.9559,0.056308606075036925,24.69713969310378,1.0,1906688.0,1091734.6789629431
4,0.0001,0.02905621968212072,0.9908666666666667,1.0,1906688.0,0.1062982085372787,0.9687,0.04395205906787057,25.04643734995347,1.0,1906688.0,852160.8052644469
5,0.0001,0.02804473910339487,0.9910666666666667,1.0,1906688.0,0.11929296703944565,0.9617,0.042321021425634396,26.814922073464487,1.0,1906688.0,820537.5689451128
