setting,test_acc,spike_rate,avg_batch_infer_ms,sop_proxy,avg_state_bits_used,estimated_state_bytes_per_sample,easy_fraction_post_warmup
FP32State,0.8361,0.04761273220486111,88.38121322499718,11210386.563682223,32.0,17694720.0,0.0
FixedStateHighB8,0.8358,0.04773279251663773,170.05613403525322,11238654.685330462,8.0,4423680.0,0.0
FixedStateLowB7,0.8033,0.05795502285427517,179.45882669727135,13645472.112544097,7.0,3870720.0,0.0
AdaptiveStateB7to8,0.8398,0.047508652253327545,328.0404408930973,11185881.007370092,7.8403662420382165,4335408.917197452,0.3192675159235669
