epoch,lr,train_loss,train_acc,train_avg_state_bits_used,test_loss,test_acc,spike_rate,avg_batch_infer_ms,avg_state_bits_used,state_bit_ratio_vs_high,easy_fraction_post_warmup,sop_proxy
1,0.0001,0.18827047592282295,0.93354,7.862214091490723,0.5641854232788086,0.8385,0.0476366995578342,332.9656674366468,7.8484773089171975,0.9810596636146497,0.3030453821656051,11216029.661217153
2,0.0001,0.1842747161591053,0.93498,7.8574656110044785,0.5626714823722839,0.8419,0.04761270033094618,331.29905819133586,7.845342356687898,0.9806677945859873,0.3093152866242038,11210379.058989862
3,0.0001,0.18304028467833997,0.93382,7.855666186820217,0.5668805478096008,0.8399,0.04758763124819155,328.2024982343814,7.84360071656051,0.9804500895700637,0.3127985668789809,11204476.5599006
4,0.0001,0.18525532299935818,0.93416,7.853776791426744,0.565253043937683,0.8383,0.04754155847620081,332.2046849591907,7.842705015923567,0.9803381269904459,0.3145899681528662,11193628.755959122
5,0.0001,0.18451423198103906,0.93434,7.850407869481766,0.5673445912361145,0.8398,0.047508652253327545,328.95813719814373,7.8403662420382165,0.9800457802547771,0.3192675159235669,11185881.007370092
