setting,weight_bits,params,quantized_weight_params,model_size_mb_proxy,synapse_count_proxy,test_loss,test_acc,spike_rate,avg_batch_infer_ms,sop_proxy
FP32,32,2175562,0,8.299110412597656,2175168,0.6760654110908508,0.7645,0.056792164607853086,225.47864750000005,1976519.9856917532
W8,8,2175562,2175168,2.0759048461914062,2175168,0.681594693517685,0.7639,0.05681872102019075,161.78876750000003,1977444.2202247402
W4,4,2175562,2175168,1.0387039184570312,2175168,1.1118472214698791,0.6289,0.06563073787540584,164.76856749999962,2284126.0934875323
W2,2,2175562,2175168,0.5201034545898438,2175168,2.3036406204223634,0.1,0.06493551123681006,160.74725750000061,2259930.3376951944
