setting,weight_bits,params,quantized_weight_params,model_size_mb_proxy,synapse_count_proxy,test_loss,test_acc,spike_rate,avg_batch_infer_ms,sop_proxy
FP32,32,1148874,0,4.382606506347656,1147072,0.634223682975769,0.7815,0.0598169951575143,264.1575329009356,1097830.4043091238
W8,8,1148874,1147072,1.1008071899414062,1147072,0.6310298257827759,0.7856,0.05983082823072161,95.57097137549135,1098084.2848043249
W4,4,1148874,1147072,0.5538406372070312,1147072,0.7714329259872437,0.7398,0.061464485549926756,95.46171190231689,1128067.0458996093
