setting,test_acc,spike_rate,avg_batch_infer_ms,sop_proxy,avg_state_bits_used,estimated_state_bytes_per_sample,easy_fraction_post_warmup
FP32State,0.8361,0.04761273220486111,87.59462503585847,11210386.563682223,32.0,17694720.0,0.0
FixedStateHighB8,0.8358,0.04773279251663773,168.91691531202977,11238654.685330462,8.0,4423680.0,0.0
FixedStateLowB7,0.8033,0.05795502285427517,168.4724917504818,13645472.112544097,7.0,3870720.0,0.0
AdaptiveStateB7to8,0.8393,0.04750144298412182,311.88708157011655,11184183.589664884,7.718451433121019,4267994.904458598,0.5630971337579618
