epoch,lr,train_loss,train_acc,test_loss,test_acc,spike_rate,avg_batch_infer_ms,sop_proxy
1,0.0001,0.2401537877213955,0.91574,0.5642201853752136,0.8405,0.04803479275173611,23.36030331837713,11309760.442572223
2,0.0001,0.22690927986264228,0.92026,0.5571926469802857,0.8446,0.04834286517107928,23.286618227079796,11382295.891611064
3,0.0001,0.21693756477594375,0.9233,0.5608888039588928,0.8463,0.04876078970449942,22.73024541509759,11480695.948846342
4,0.0001,0.22021728108644487,0.9214,0.5717780166625976,0.8424,0.049964762799298325,22.762620121620262,11764170.624210395
5,0.0001,0.2183353082227707,0.9222,0.5808879849433899,0.84,0.04931658743399161,22.773300339082244,11611558.159651967
