layer_name,params,hessian_trace,trace_density,rank,state_cost_proxy,hessian_norm,state_cost_norm,state_aware_score,state_aware_rank,assigned_bits
features.7,73728,368.9944381713867,0.005004807375371456,1,524288.0,0.02075675282741261,0.5,0.14056756462055947,3,8
classifier,2560,3.064354322850704,0.0011970134073635563,2,160.0,0.00017237670456561824,0.000152587890625,0.0001674295010804637,7,4
features.14,294912,0.12673276662826538,4.2973078961949795e-07,3,262144.0,7.128998271825589e-06,0.25,0.06250534674870387,6,4
features.17,589824,-21.030837178230286,-3.565612314559985e-05,4,262144.0,0.001183031080970738,0.25,0.06338727331072805,5,4
features.10,147456,-22.758288145065308,-0.00015433951921295375,5,524288.0,0.0012802040164701487,0.5,0.1259601530123526,4,8
features.3,36864,-319.9744119644165,-0.00867986143566668,6,1048576.0,0.01799926799210251,1.0,0.2634994509940769,2,8
features.0,1728,-17777.079162597656,-10.2876615524292,7,1048576.0,1.0,1.0,1.0,1,8
