epoch,lr,train_loss,train_acc,test_loss,test_acc,spike_rate,avg_batch_infer_ms,sop_proxy
1,0.0001,0.014201937967205109,0.9959333333333333,0.018739408437616657,0.9942,0.02900017323232747,9.768021791271723,562267.4227004297
2,0.0001,0.011255723940891525,0.9966,0.019451349787798243,0.9944,0.02853640081649436,9.663352410599684,553275.6101729324
3,0.0001,0.010138480402484613,0.99725,0.016979456786665834,0.9946,0.028832169552648362,9.602316358619056,559010.0974692804
4,0.0001,0.009758033109817188,0.9969,0.01732337349453592,0.9946,0.029340858756125805,9.705392786177102,568872.7753610096
5,0.0001,0.009452371724441765,0.9973666666666666,0.016527455195970833,0.9942,0.0306268251019569,9.556261970881065,593805.6258359828
