epoch,lr,train_loss,train_ce_loss,train_kd_loss,train_feature_loss,train_acc,test_loss,test_acc,spike_rate,avg_batch_infer_ms,sop_proxy
1,0.0001,0.3106851883983612,0.26160377406716345,0.3596969319105148,0.0003483537287637591,0.90828,0.562710408782959,0.8366,0.0487304480432581,22.70716115547593,11473552.024611203
2,0.0001,0.29713927865982054,0.24240486921548843,0.3518021425676346,0.00035772794774733483,0.91454,0.535335053730011,0.8421,0.04881692432544849,22.662221946439168,11493912.80852449
3,0.0001,0.29376496840953825,0.23361596952676772,0.3538409962129593,0.00036485986275598404,0.91706,0.5368123382568359,0.8443,0.04934456199363426,22.566478402846176,11618144.751368519
4,0.0001,0.2852697022008896,0.23093254195809365,0.3395357173061371,0.00035572386000305413,0.9187,0.535110193157196,0.8425,0.048607145792643226,22.69064853335642,11444520.590590207
5,0.0001,0.3088261008310318,0.24128546865582465,0.3762884932518005,0.0003911965256463736,0.91522,0.5427561854362488,0.8414,0.049938951935944734,22.6171669568036,11758093.473365718
