layer_name,assigned_bits,hessian_trace,severity
features.0,8,54543490.003125,0.0
features.3,8,1361086.632861328,0.0
features.7,8,73926.93493652344,0.0
features.10,8,4557.9024879455565,0.0
features.14,8,905.6753070831298,0.0
features.17,8,121.66897251605988,0.0
features.20,8,11.797157667204738,0.0
features.24,4,2.279399525374174,1.0
features.27,4,0.21725171338766813,0.9999999621925968
features.37,4,0.008926055120537058,0.9999999583731556
features.34,4,0.008891933021368459,0.9999999583725301
features.30,4,-0.005989797483198345,0.9999999583193222
features.40,4,-0.03864530007122084,0.9999999589180281
