epoch,lr,train_loss,train_acc,train_avg_state_bits_used,test_loss,test_acc,spike_rate,avg_batch_infer_ms,avg_state_bits_used,state_bit_ratio_vs_high,easy_fraction_post_warmup,sop_proxy
1,0.0001,0.030860590377442227,0.9904166666666666,7.0,0.31258297926150264,0.9035,0.052404901011597074,41.606601493753445,7.0,0.875,0.0,1016048.0212516648
2,0.0001,0.02817236062148586,0.9910166666666667,7.0,0.39984073475040494,0.8838,0.04744820563196496,41.926836618667195,7.0,0.875,0.0,919945.5492460795
3,0.0001,0.02724417506419122,0.9913666666666666,7.0,0.3487373045963701,0.8961,0.046412533775845866,41.501388926604754,7.0,0.875,0.0,899865.5124601504
4,0.0001,0.025640613355115055,0.9916333333333334,7.0,0.3447584655131097,0.9008,0.036350942157290546,41.79042198096111,7.0,0.875,0.0,704787.1885374865
5,0.0001,0.025541924536414445,0.9919166666666667,7.0,0.16849223699597643,0.9498,0.043336653663315655,42.81381635102117,7.0,0.875,0.0,840229.0692722879
