setting,test_acc,spike_rate,avg_batch_infer_ms,sop_proxy,avg_state_bits_used,estimated_state_bytes_per_sample,easy_fraction_post_warmup
FP32State,0.9928,0.03002154893721469,27.19592467946991,582070.2797590763,32.0,7626752.0,0.0
FixedStateHighB8,0.9913,0.03380814564312567,42.1763344009401,655486.391917508,8.0,1906688.0,0.0
FixedStateLowB7,0.9498,0.043336653663315655,42.294619557489256,840229.0692722879,7.0,1668352.0,0.0
AdaptiveStateB7to8,0.9561,0.047878678210593446,76.62750357038277,928291.7306771213,7.769108280254777,1851658.1910828026,0.46178343949044587
