epoch,lr,train_loss,train_acc,train_avg_state_bits_used,test_loss,test_acc,spike_rate,avg_batch_infer_ms,avg_state_bits_used,state_bit_ratio_vs_high,easy_fraction_post_warmup,sop_proxy
1,0.0001,1.0584733023834227,0.69644,4.0,2.428701274108887,0.4569,0.08005892824526187,179.26367422103124,4.0,0.5,0.0,18849822.13668998
2,0.0001,0.9295587859916687,0.7075,4.0,1.4287209644317627,0.5518,0.0793110316297743,177.41078771888073,4.0,0.5,0.0,18673730.36919361
3,0.0001,0.8665675422286987,0.71676,4.0,1.660733877468109,0.528,0.07716185528790509,187.09870457506864,4.0,0.5,0.0,18167708.209360186
4,0.0001,0.8653918658638,0.70892,4.0,1.613955174255371,0.5247,0.07468508185492621,190.75942567436937,4.0,0.5,0.0,17584553.52932868
5,0.0001,0.8440934833908081,0.71448,4.0,1.5120509811401368,0.5244,0.0815572233525029,183.8750461840136,4.0,0.5,0.0,19202594.73680829
